,ID,Title,Description,Objectives,Solutions,Duration
10,d.50,[4461 2458 3323],"[ 6716 20872  6678 20184  3783  6676  3775  9977  6241 21439  9287 20395
  4604  7892 23078 17076 22935  3781 16965 12048 18905 21369  4439 16822
  8482 10248  6896  4843 22991  6566 19628  6562 20416  4943 17452  8845
  7919 19506 17399 21859 21833  8869 20924 21011  5016  4375  3610 13137
  7168 21010 20958 16102  9836 13496 11940 14096 17448 17951 20998  6995
 21822 12216 20878 11210 15990  7171 22975 23038 19771 16118 21014 12396
 21116 11918 21202 21039 12236 15854 13497 14105  4196 21000 12367]","[2530 1537 6644  291 1536  707 2126 7716  627 1483  535 5821 1935 1273
 7258 7367 4061 3430 5146 2101 5505 7336 7335 2916 6959 5188  197  800
 7110 4744  471 1392 7061 3349 5747 3817 6913  977 7692 7801 7038]",,"Maximum 7 hours, depending on your level of expertise. Fast track is possible."
11,d.51,[5396 5094 1162 4348 4450 4461 3323],"[10505 12085 10549 22008  4095 21025  9247 21052 16073  4640 13691 15168
 17268 22382  7008 17411  8483 14359  6039 16100 17266 11943  5928 17043
 17275  6600  9977  4943 20958 14096 17448 20892  5255  6933 20355  4162
 15990  7171  5682 11918 21202 10006 19443 21039 14694 13497 23075  4196
 21000 12367]","[5343 2578 5223 7168 4006 2993  596 3725 5221  407 2703 1802 4021 5505
 3004 6703 7714  471 7061 3349 5747 3817 6913  977  198 3809 7692 7801
 7038]",,40 hours
12,d.52,[4838 5396 5094 3323],"[18657  4173 16736  6939  8563 19735 10887 17033  3668 11720  9197 21844
 11868 17360  6818 14716 14516 18644  4307  8532  6858  9990 18806 17341
  4484 11712 18805  7170  6600 22935 16965  4439  5532 18489 14096 17448
 16118 21202 21039 15854  4196 21000 12367]","[6008  260  407 2703 4021 5505 3004 6703 2856 7714  471 1392 7061 3349
 5747 3817 6913  977 7692 7801 7038]",,"Maximum 10 hours, depending of your level of expertise. Fast track is possible."
13,d.87,[5581 4912 5225],"[17621 13743 10421 14321 13904 19364  7386 20389 20421  4377 20049 17486
 16602 12248  6507  3902 20171 18512 17368  9359 21946 17529  9566 16322
 15216  7387  9779  9567 21060 17373  9301 14352 19540 12051  7661  6938
  5346 21579  5764 14674  9614 18368 12386  7713  4656  9568 11973 17863
  6940 16958 20298  7559  4368 12171 20610 18890  7565 18232  4173  3668
  4307  4439 17399  4375 12407  4504 19412  9386  3980 17142 16247  6392
 17217 19576 21249 20012  7945 10802  7535 16699 12168 17143 14191  4094
 12718 18489  6543 19775 16560 10226 17993 11940  8472 14096 17439 20965
  7737  6186  8901 19893  5255 22362  8119  6933  6519 20998  7837  6515
  8893 13552  5682  5029 19771 16118 22985  4084 11918 21202 10006 17431
 19443 21039 23861 13603 21750 13556 12236 20342 14694 15854 17443  6722
 23858 15869 13497 23075  4196 21000 12367]","[3434 2714 2304 6031 1700 5182 6735 7018 2030 4621 3308 6030 5692 7024
 6515 7336 1459 3004  959 6968 2856  197 7110 4744  471]",,09:25 hours
14,p.6,[4001 4999],"[11978  5391 18608 14202  9810 14232 19872 11121 15481  8103  5683  4291
  3464 20795  9015  5256  6454 12436  6470 13915  4039  4069 12026 11528
 11494 16989 15162 22007  8857 22889  7638  6024 22990 14720   338  9683
 11942 18450  4556   301 16499 20846 21306 20825  5816 19902   586  5270
 20686 22787 18606 15229 13651 20391 16266  9258 18451 11747 22012 15624
  9847 16013 13654  6801 15419 17298 16690 22942  3772 18473 17602  6775
 21140  8005 20896 20886 22229 23021  3647 14661 16643 16012 19169 20421
  4439 22991  4943  7168 10769 22903  5532 21249 11940  7687 22011  6186
 19893  5255 21026 10165 20998 17523  6464 20362 15990 14132 23038 15167
  5480 22983 21202 10006 13480 23861 15854 23858 16248 23075  4196 21000
 12367]",[],,
15,p.7,[5305],"[14055 23148 13390 15045  8942 19694 19723 19651 11059 18792 21243 13779
 13667 13789 21936 19662 21247  6731 17325 23077  9072 18620  3630 23253
 23168 18409 20894 19304  6453  6596 20103 11978  5391  4291  3464 20795
  9015  6470 12026 11528 11494 16989 22007 15229 22012 15419 21140 16012
  9977  4375 13137  9836 22903  5532 20012  5255  6519 15990 11918 21202
 23861 15854 23858  4196  4524 21000]",[],,
16,p.9,[2071 1927 5891 4369 3167 5183 5180 4001],"[ 8514 22361  6692 19633 21354 11328 10033  4295  6567 12020  7899 20746
  4671 20478  4489  8496  4150  7096 15437 15865  6559 15429 17124 22931
  5326 19769 21076 11539  5280   667  1554  7506 21916 19774 17521 17255
 19438 15103   323  2481   439 13670 20334  2915  1587   226  2960  1188
 18749  4819 15469 15462 18486  4469 11412 19726 15430 19727 19580 11529
  5391 15481  8103  3464 20795  6470  4069 11494 16989 22007 16013 15419
  6775  3647 16012 17486  4640 17411 11943  6716  4439  4943  5532  7737
  5255 10165 20998 18748  6464 20362 15990 23038 11918 21202 23861 23858
 13497 23075  4196 21000 12367]",[],,Hours of learning!
17,p.11,[3231 2695 1773 3833 3167],"[18361  4085 16761 21320  3648 14094  3732  8716  6189  6198 21339 13780
 21354 11328 10033  4150 11539 19774 11121  4069 15419  3647  6562  4375
 18489  7737  6933 10165 22405 22985 12396 11918 21202 23861 23858 13497
  4196 21000 12367]",[],,N/A
18,c.4,[3400 5339 2892 2274],[14348 20176 12311 18352 19908 10006 13497],[],"['d.16', 'n.1500643053715', 'd.33', 'c.32', 'c.36', 'd.35', 'd.68', 'd.69', 'n.1456913676615', 'n.1480933299878', 'n.1482407682038', 'n.1480418346044', 'n.1480429092506', 'n.1528891134969', 'n.1528384162301', 'n.1512074508122']",
19,c.5,[3914 3400 5339 2274],"[ 4370  6046 12405 16567 12021 18458 15588 14204  6773 20176 20478  6453
  9810 15229 11747 17411  7737  6933 20998 21941  5682 12396 10006 21039
 23858 13497 23075  4196 21000 12367]",[],"['n.1576092570730', 'n.1526540993998', 'n.1531466241279', 'n.1548635008710', 'n.1553574245158', 'n.1558610058526', 'n.1559297350029', 'n.1568724702030', 'n.1539961257296', 'n.1563982761820', 'n.1565353867229', 'n.1571130963245', 'n.1584111007917', 'n.1592847550617']",
20,c.6,[2251 3400 5339 2274],"[13521 14365 19398 15220  1126  8810 13502 18408 17409 18351  3769 15235
  4814  9943  6046 12405 18458 14348 20176 18352 21339 15469 15462 18486
 11529  3464 20795  6470 11494 16989  9847 15419 16100 19908 15990 11918
 21202 10006 13497 21000]",[],"['d.33', 'n.1457425837509', 'n.1480933299878', 'n.1555069830157', 'n.1482407682038', 'n.1480429092506', 'n.1511346832925', 'n.1528469381209', 'd.51', 'n.1582795733370', 'n.1598387668010']",
21,c.7,[3473 3400 5339 2274],"[11211 14619 16270 16988 16975  6046 17124 20334 15469 15462 18486 19727
 19580 11529  3464 20795  6470 11494 15419  6413 13490 13497  4196]",[],"['n.1510237146830', 'n.1510237095513', 'n.1510235365175', 'n.1510237118448', 'n.1510237132181', 'n.1510245282483', 'n.1526861310906', 'n.1540383577659', 'n.1540302634499', 'n.1579614774516', 'n.1585747516780', 'n.1580199764974', 'n.1585639771394', 'n.1506016822176', 'n.1582629246265', 'n.1583896139351']",
22,c.12,[1164 2469],[],[],"['n.1558610058526', 'd.35', 'n.1467622682648', 'n.1493109362781', 'n.1490006114779', 'n.1512074508122', 'n.1528384162301', 'n.1528891134969', 'n.1536763022119', 'n.1575635027425', 'n.1557415927747', 'n.1490945281480', 'n.1588854008804']",
23,c.13,[4445 1773],"[ 7751 13376  9253 20484 18208  6941  6453  6775 17399  3924 17439  7737
 19893 20998 10006 21039 15854]",[],"['n.1540982430919', 'n.1540304371684', 'n.1540981854627', 'n.1511536062854', 'n.1535540025713', 'n.1498465728076', 'n.1480933299878', 'n.1493887885608', 'n.1493887685325', 'n.1480418346044', 'n.1551179803961', 'n.1499762109192', 'n.1480429092506', 'n.1507120536701', 'n.1480935016930', 'n.1471877795590', 'n.1506523474367', 'n.1493109362781', 'n.1483458120378', 'n.1509542504225', 'n.1477649296911', 'n.1477650917510']",
24,c.14,[4461 3323],"[ 5931 17020  3714 15450  4976 20478 20334 15419 10505 11943 20012 14096
 17448 14103 19908 16118 21202 10006 15854 13497 21000]",[],"['n.1583813579436', 'n.1489505010552', 'n.1490843156876', 'n.1542807739345']",
25,c.15,[3842 3400 5339 2274],"[ 7612 21809 19386 18672  3697 19303  9261 16130 12061  7004 10253  8415
  6002  9119 21323 10643 21551 17389  6755 18496  7181 16575 16162 21066
 21020  7184 14164 14732  7935  5004 16500  6217  9212 12421  7596 17514
 15507 10696  7656  3929 14723 12751  7865 20207 21862  8229 18296 21360
  7862  9993 11226  8813 15463 12187 19518 12021 21339 20478 22931  5326
 20334   226 21247  9810 22889 16013 15419  7386 17373  6940 18644 21025
  4640  4375  3610 21249 14096 17951 23038  5480 12396 21202 10006 17431
 21039 14694 15854 23858 13497 23075  4196 21828 21000 12367]",[],"['n.1568552729457', 'd.54', 'd.56', 'd.57', 'n.1471882839673', 'n.1474561365087', 'n.1556179835883', 'n.1486109065849', 'n.1528276875321', 'n.1459939349042', 'n.1560759399096', 'n.1539368808850']",
26,c.16,[5644 4440],[17376 18208  6773  6454 21241 19908 15990 21039 15854 13497  4196],[],"['n.1478871964266', 'n.1491758561779', 'n.1512040085957', 'n.1485351588488', 'n.1503333115485', 'n.1518613385646', 'n.1558712892520']",
27,c.17,[5550 5557],[],[],"['n.1547630331213', 'd.35', 'n.1480513869443', 'd.111', 'n.1529421158408', 'n.1480409071191', 'n.1457003511987', 'n.1480519656989', 'n.1465304833550', 'n.1462189504783', 'n.1591274148477']",
28,c.19,[3345 5005],[14167 19184  4150  6453 11942 21249 10006],[],"['n.1465578454389', 'n.1465243651681', 'n.1521729462488', 'n.1467739555767', 'n.1464205943472', 'n.1484676045193', 'n.1466471378993', 'n.1464122611228', 'n.1458913251196', 'd.19', 'd.77', 'n.1478093995041', 'n.1468852997315', 'n.1458832428187', 'n.1551179803961', 'n.1591719256189']",
29,c.21,[3790 4681],[],[],"['n.1493877632058', 'n.1493878250776', 'n.1457003511987', 'n.1493878766205', 'n.1473694720324', 'n.1457367104672', 'n.1491904758880', 'n.1459411842520', 'n.1499337826777', 'n.1484919589363', 'n.1493881369682', 'n.1539884156469', 'n.1542209005317', 'n.1582325234683']",
30,c.22,[2235 3790],[18208 15220  6773  6453  9847 23021 19908 21039 15854 13497],[],"['n.1507815034295', 'n.1490006114779', 'n.1522318668166', 'n.1598387668010', 'n.1528961458720', 'n.1494254884930', 'n.1494328991567', 'n.1522868718818', 'n.1457425837509', 'n.1497448197326', 'n.1494324064628', 'n.1551954868462', 'n.1586878433417', 'n.1557744447085', 'n.1556180769889', 'n.1494325272945', 'n.1539884156469', 'n.1548809231175', 'n.1582795733370']",
31,c.23,[3833 5225],[],[],"['d.35', 'n.1457428440191', 'n.1539961257296', 'n.1475063103172', 'n.1475068162822', 'n.1480670005295', 'n.1475149858916', 'n.1480424396928', 'n.1487334330145', 'n.1493303923347', 'n.1496321578880', 'n.1497448197326', 'n.1498221606550', 'n.1517244458100', 'n.1537276315959', 'n.1539884156469', 'n.1524052682838', 'n.1544088051200', 'n.1563265395980', 'n.1563982761820', 'n.1576018672685']",
32,c.24,[4018 2896 3790],[],[],"['n.1513177589141', 'n.1513172668132', 'n.1512074508122', 'n.1539884156469', 'n.1557415927747']",
33,c.33,[3794 6020],[20271 13400 19640  3769  6453 19908 21202 21039 13497 21000],[],"['n.1604511790519', 'n.1604511420367', 'n.1604503026973', 'n.1604491105055', 'n.1604490841177', 'n.1604490731182', 'n.1604489285462', 'n.1604485359491', 'n.1604483484665', 'n.1604483432156', 'n.1604483320185', 'n.1604432850775']",
34,c.35,[ 889 3833 4001],"[16973 16581  1764  2209 13616 10223 19440 19623 19398  8810 13502 12405
 15469 15462 18486 11529 11121  3464 20795  6470 11494 15419  3647 16012
  5255 10165 11918 21202 15854 23858 13497 21000]",[],"['n.1465495758228', 'n.1465491871963', 'n.1465502981522', 'n.1550044946658']",
35,c.36,[ 952 5890 3400 5339 2274],[ 5429 14348 20176 18352 22361 19908 10006 13497 21000],[],"['d.102', 'c.37']",
36,c.37,[1465  967],"[15179 17144  4112 21316  9606 21050 16862 13689  8616 13385 17286 16132
  9552  7740 13495  6751  7181  9993 15450 12021 18352 21320  4671 20334
 21936  6453 19872 20886  6716  4943 20206 12168  6543  6516 14096  8901
 20998 12216  4162  3782  4571 13552  5682 22975 19771 15167  5480 21014
 12396 11918 20315 21202 15854 23858 23075  4196  4524 21000 12367 12154
  8794]",[],"['d.9', 'd.10', 'd.4', 'd.5', 'd.3']",
37,c.39,[5904],"[ 8385  9133 10037 16541 21389  4567 17075  7478  8139 13539  7375  6613
  7672  8389 15771 17164 22419 17435 13467  5928]",[],"['c.46', 'n.1464253433129', 'n.1465997722945', 'n.1467104535930', 'n.1474544875746']",
38,c.57,[1711 3288 5644],[ 7500 13504 13904 21241 19908 15990],[],"['d.134', 'd.138', 'd.137', 'd.136']",
39,c.58,[ 880 3314 1024 3607 3790 5644],[ 8902  5717 15220 18352 14661 21241 19908 10006 13497],[],"['d.136', 'd.137', 'd.138', 'n.1470865599244']",
40,n.1455635019223,[3401 4177 3388 1153 3400 2274 4461 5539],"[ 5235 11290  8937 11215  7805  4327  9347  6558 13543 12082 10071  6619
  9805  7681  7706  8562 19521  4400  9346  9343 18660 18609 10229 14311
 16350  3803  5903  3729  9041  6941  8942 21936  4069 15162  6775  7386
 12248  3902  7661  9990  4095 21025 11943 22935 18905  4439  4943  4375
 21010 13010  5532 21249 17951 22011 11457 20998  7837  4162 15990 10547
 19771  6931 11918 21202 10006 13556 15854 23075  4196 21000]","[2217 2798 5353  548 4151 2287 7369 6354 1122 3448 1852 3713 6032 5951
 3004 6832 7803 7110 4744  471 3225 3631 7672 7038  593]",,1 hour
41,n.1455635261149,[ 650 1153 2274],"[11931  7708 18907  4331 20212 18712 14307 10611  5235  4327  6619  9805
  9346 18660  5903 20334  7386 12248 17373  9977 22935  4439 17951  4162
 15990  6931 12396 21202 21039 15854 23075  4196 21000]","[2431 5625 6836 1123 4155 5874 4156  550  552 2798 1122 3448 1852 5951
 7110 4744 3631 7672 7038  593]",,40 minutes
42,n.1455635719676,[1484 1153 2274],"[ 7000 18577  9345  6820 22002 16594  9979 20212  5235 12082  9346 18660
  5903  9993  7386 12248  3902 10505 22935 18905  4439 17142  4162 15990
  6931 12396 11918 21039 12236 15854 23075  4196 21000]","[2217 2798 1122 3448 1852 3713 6032 5951 6832 7803 7110 4744 3225 3631
 7672 7038  593]",,20 minutes
43,n.1455638218110,[5640 3389 1957 1507 1153],"[12050 11988 11873 14092  9205 16962 17441 20229 10244 22416 11882  7575
 18796 11906 21319 21234 14309  8622 18415 10611  5235 11290  9805 14311
 16350  5903  5326  4069 11868  4095  6896 17452  8472 14096 17448  3924
  4162 11112 15167 21994 12396 13729 11918 21202 10006 23861 15854 23858
 23075  4196 21000 12367]",[],"['n.1455635719676', 'n.1455635019223', 'n.1455635261149', 'n.1455703052874']",
44,n.1455703052874,[ 515 5453 1153 2274 4461],"[10234 14062  3800 10231  8170 10610  3903  9807  9276  4462 21234  9979
  7708 18907 14307  5235 11290  4327  9347 12082  8562 19521 14311  5903
 12421  6941 21936  4069  7386 12248  3902 17373  7661 21579  6939  9990
  4095 22935  4439  6562  4375  5532 20012 17951 22011 19893 20998  7837
 11210  4162 15990  6931 12396 11918 21202 21039 15854  4196 21000 12367]","[ 302 2219 5444 2200 2288 4155  548 7369 6354 1122 3448 1852 3713 6032
 5951 1007 7803  800 4744 7725  471 3225 3631 7672 7038  593]",,55 minutes
45,n.1457003014038,[5929 3833],"[13171  6919  5438 14663 16731  8846 18835 16091 22495  6244 20904 14854
 21353 23029 22542 19256 16054 12146 18611 18464 17505 19407 18272  6664
 11098  6025 12192 20802  9919  5661 14822  9675  5910 11914  7680 16776
 18175 16308 22518 16087 16059  5072 18438 12720 22999 16773  7690 22522
 18907  7181  9212  8813 21339 20334 13667  5270 15419 20886 10421 13904
 12248 15216 16958  4368 20610  4173  6818 10505 21439 16965 19506 19509
  7687 10165 19908 15990 16042 16118 11064 21202 10006 15854 19905  4196
 21000 12367]",[],,"Minimum 1.5 hours, Maximum 28 hours, depending on track and your level of expertise"
46,n.1457003159282,[ 640 3212 3833],"[19282 10232 13338 15877 21329 16972  5744 14750  4308 13677  7656 11328
 22007  4368 20610  4307  5016 10006  4196]","[1275 5663 3748 6168 2007 2933  564 3749 2640 4762 7194 5195 2022 3815
 7207  520 3896 4620  343 2856 4776  197 7110 7038  593]",,1.5 hours
47,n.1457003511987,[5353 3288 5550 3833],"[ 8782 17090  3811 17425 16064 20597  9141  1685  1679  1432  5038  5175
 11725 17508  3984  9661 19255 15859 22859  7169 17889 16103 21381 12213
  3773 20479 20214  6693  8524 17370  6695  8868 19166 20946 13808  1684
 20341 13419 16859  8801 20000 12191 16333 20208 14663 19407  6025  9675
  7680 18175 22518 16059  4462  9345  9212  9253 17409 13780 20334 23077
 15419 20896 13904 12248 15216  4368 20610  6818  4640 10248 19506  7168
 19509  5532 14096 22011 19908 17523  4162 15990 12396 11918 21202 10006
 15854 23075  4196 21000]",[],,"Minimum 1 hour, Maximum 10 hours, depending on track and your level of expertise"
48,n.1457364353349,[4170 3991   67 4445],"[20889 17235 18082  4459   266  9038  1555   395 20551 17561   453 10670
 16254  8788 15987   309 13421 17519  3982 16333  9675 22999 11882 12082
 19184  9212 12021  5326 20334 18486  6775 20610 10505  4095 11943 14096
 17523  4162  3782 15990  4571 10547 15167  6931 12396 21202 21039 13603
 21750 15854  4196 21000]","[2560 5655 6073 4774 1515  622  840 5183 1635  623 2737 4371 4033  381
 4939 6328 5541 3317 4031 7199 5061 1577  525 2946 2345 4773 4775   31
 1441 7108 4534 6987  564 2022 2714  521 4021 5103 4776 4744  471 7038]",,The recording lasts 40 minutes. The time needed to learn depends on the student skills.
49,n.1457364959720,[4051 5316 2349],"[16062 16882 22557 22552 22478 11741 18943 17088  6216  9590 10088 13558
  6777  5447 10241 14776 12319  5456  4092  7677 17127 18938  9111  7678
 16180 20126 17889 20479 11098  4462  9345 11290 17409  8716 12248 17529
 15216  4095 15168 19506 17399  4375 19509 13010 10240  7687  8901 11457
  7837 19908 15990  4571  6931 12396 21202 21039 13603 21750 15854 23075
  4196 21000 12367]","[4419 5613 6330 6314 4397 3615 2949 5479 3141 4551 3849 7411 6065 6310
 4914 6618 7675 5033 1690 1441 2640  627 2101 2950 3185 3707  197  800
 2387 7110 4744  471 3631 3349  977 7692 7038]",,12 hours
50,n.1457365350454,[2062  354  360 5316 4170 4445],"[15169  6584 11296  9106  2690  2720  7678 20126 16333 10232  4308 11098
  9675 16773 17409  8716 21339 12248 15216 14674 17399 17523  4162  4571
  6931 21202  4196 21000]","[5561 2514  173  175 6037 1946 6310 6618 5033 1690 4534  197  800 2387
 7110 4744  471 3349  977 7692 7038]",,1 hour and 30 minutes
51,n.1457367104672,[3435 4681],"[14465  7486 18175 17409  6773  6453  7170  6933 20998 21039 23075  4196
 21000]",[],"['n.1581498457451', 'n.1581516316341', 'n.1567410099704', 'n.1479919987888', 'n.1566392914748', 'n.1568368442626']",
52,n.1457424559553,[5473 2879 5229 3128 4235 4018],"[ 7657 21580 17083 13367 16084  7678  9345 16594 13915  4039 12248 15168
  4375 23008 17523  4162 22975  6931 12396 21202 10006 19905  4196 21000
 12367]",[],,20 minutes
53,n.1457425837509,[4172 5229 4445 2251],"[ 4989 10072  8168 13418 19528 10803 20895  7708 14732  6217 11226 12187
 16270 15220 17409  4150  9810 11121 22889  9847  4095 21025 10248  4943
  3610 20998  7837 19908 15990 22975 14132 23038 22804 12396 13490 11918
 21202 10006 15854 23858 13497 21000]",[],"['n.1507202229037', 'n.1457424559553', 'n.1507621705678', 'n.1520536010801', 'n.1528962557253', 'n.1520586069606', 'n.1494324064628', 'n.1521024863232', 'n.1497276715535']",
54,n.1457426318672,[4027   55 5824 4381 5104 4228 3167],"[19425 22053 17170 17128  8617 19445 16577  5453 19428  5708 10808 19495
 10688  8846  9979 16575 14164 14732 23077 15229 16266 21011 13137  5532
 15990 19771  5480 21202 21039 15854 13497 23075  4196 21000 12367]","[4500 4172 6319 5477 4942  405 4093 7715 4849 3190 5036 3980  387 6268
 4086 7430 5297 4968 5564 7675 1690 6804  444 7063 7110 4744  471 7061
 7038]",,1 hour
55,n.1457428440191,[4170 5005 3914],[16333 19184 15588],[],['n.1457427672674'],
56,n.1457624053635,[844 874],"[17369  6107 10076  2151 10783 14518  5015 15203     1  1173 13509  4891
  9245 16589 18920  7416 20925 14362  6561  4497  9337 17524  4313  6570
 19316 13383 14328 18662 17366 17211 22018 14121 21122  6565  7621  5688
 18612 14670 10753 16555  5006  5166  8907 18675 11907 20520 14306  4321
 20611  9320  8227 14395 16163 13322 19661 19733 13486 16731 11906  5235
  9805 21551  7181  7596  9993 19518  5931 21339 15469 15462 18486  4469
 19726 19727 19580 11529 17325  3464 20795  6470 11494 16989 11942 15419
  7386 17373  4307  4484 14359 16100  5928 18905  6566 17452  5016  4375
 19412  4868 21241  5532  8472 17448 19915 17951  6186 20998 17523  4162
 15990  5480 12396 11918 21202 10006 17431 13480 13603 21750 20342 15854
 16248 16001 23075  4196  4524 19765 21000 12367]","[4101 5029 7742 6454  831  872 6407 6448 3806 1431 6800 7207 3725  535
 2063 5496  343 5124 7803  197  800 7110 4744  471 3349 6913  977 7692
 7801 7038]",,"10 days of Classroom Training + approved Black Belt improvement projectSuccessful completion of a Black Belt project may require at least 20% time allocation from the Black Belt candidate over 6 to 9 months and strong support from Line Manager, Process Owner and Business Leader. Please discuss the requirements with your Line Manager"
